,Date,Close,Symbol
0,2020-12-01,18802.998046875,BTC-USD
1,2020-12-02,19201.091796875,BTC-USD
2,2020-12-03,19445.3984375,BTC-USD
3,2020-12-04,18699.765625,BTC-USD
4,2020-12-05,19154.23046875,BTC-USD
5,2020-12-06,19345.12109375,BTC-USD
6,2020-12-07,19191.630859375,BTC-USD
7,2020-12-08,18321.14453125,BTC-USD
8,2020-12-09,18553.916015625,BTC-USD
9,2020-12-10,18264.9921875,BTC-USD
10,2020-12-11,18058.904296875,BTC-USD
11,2020-12-12,18803.65625,BTC-USD
12,2020-12-13,19142.3828125,BTC-USD
13,2020-12-14,19246.64453125,BTC-USD
14,2020-12-15,19417.076171875,BTC-USD
15,2020-12-16,21310.59765625,BTC-USD
16,2020-12-17,22805.162109375,BTC-USD
17,2020-12-18,23137.9609375,BTC-USD
18,2020-12-19,23869.83203125,BTC-USD
19,2020-12-20,23477.294921875,BTC-USD
20,2020-12-21,22803.08203125,BTC-USD
21,2020-12-22,23783.029296875,BTC-USD
22,2020-12-23,23241.345703125,BTC-USD
23,2020-12-24,23735.94921875,BTC-USD
24,2020-12-25,24664.791015625,BTC-USD
25,2020-12-26,26437.037109375,BTC-USD
26,2020-12-27,26272.294921875,BTC-USD
27,2020-12-28,27084.80859375,BTC-USD
28,2020-12-29,27362.4375,BTC-USD
29,2020-12-30,28840.953125,BTC-USD
30,2020-12-31,29001.720703125,BTC-USD
31,2021-01-01,29374.15234375,BTC-USD
32,2021-01-02,32127.267578125,BTC-USD
33,2021-01-03,32782.0234375,BTC-USD
34,2021-01-04,31971.9140625,BTC-USD
35,2021-01-05,33992.4296875,BTC-USD
36,2021-01-06,36824.36328125,BTC-USD
37,2021-01-07,39371.04296875,BTC-USD
38,2021-01-08,40797.609375,BTC-USD
39,2021-01-09,40254.546875,BTC-USD
40,2021-01-10,38356.44140625,BTC-USD
41,2021-01-11,35566.65625,BTC-USD
42,2021-01-12,33922.9609375,BTC-USD
43,2021-01-13,37316.359375,BTC-USD
44,2021-01-14,39187.328125,BTC-USD
45,2021-01-15,36825.3671875,BTC-USD
46,2021-01-16,36178.140625,BTC-USD
47,2021-01-17,35791.27734375,BTC-USD
48,2021-01-18,36630.07421875,BTC-USD
49,2021-01-19,36069.8046875,BTC-USD
